date,open,high,low,close,volume
2020-04-27 05:00:00,102.5,102.5,102.5,102.5,153
2020-04-27 05:15:00,102.41,102.41,102.1,102.1,2873
2020-04-27 06:15:00,103.0,103.05,102.71,102.71,2962
2020-04-27 06:45:00,102.93,102.93,102.93,102.93,200
2020-04-27 07:15:00,102.4,102.71,102.31,102.45,5302
2020-04-27 07:30:00,102.45,102.68,102.4,102.68,1927
2020-04-27 07:45:00,102.63,102.63,102.63,102.63,113
2020-04-27 08:00:00,102.65,102.68,102.6,102.64,3032
2020-04-27 08:15:00,102.4501,102.8,102.3,102.41,24125
2020-04-27 08:30:00,102.57,102.57,102.32,102.49,9325
2020-04-27 08:45:00,102.4,102.7,102.3292,102.4,13964
2020-04-27 09:00:00,102.45,102.4699,102.35,102.35,2491
2020-04-27 09:15:00,102.3,102.42,102.3,102.3,10813
2020-04-27 09:30:00,102.3,102.5,102.03,102.03,12724
2020-04-27 09:45:00,102.0,103.1,101.61,102.74,1553679
2020-04-27 10:00:00,102.74,103.13,102.52,102.91,704204
2020-04-27 10:15:00,102.92,103.12,102.66,103.0899,558541
2020-04-27 10:30:00,103.085,103.83,103.04,103.79,661032
2020-04-27 10:45:00,103.78,104.6265,103.78,104.52,935172
2020-04-27 11:00:00,104.52,105.27,104.37,104.661,977791
2020-04-27 11:15:00,104.67,104.95,104.54,104.895,501495
2020-04-27 11:30:00,104.9,105.15,104.72,105.0501,463148
2020-04-27 11:45:00,105.06,105.17,104.89,105.0852,455600
2020-04-27 12:00:00,105.07,105.25,104.95,105.15,373073
2020-04-27 12:15:00,105.1436,105.19,105.0,105.11,434600
2020-04-27 12:30:00,105.1025,105.2,104.73,104.993,373088
2020-04-27 12:45:00,104.99,105.24,104.915,105.0101,352350
2020-04-27 13:00:00,105.02,105.77,104.98,105.764,457558
2020-04-27 13:15:00,105.76,105.85,105.56,105.6637,418582
2020-04-27 13:30:00,105.67,105.75,105.35,105.73,458203
2020-04-27 13:45:00,105.73,105.81,105.415,105.535,365317
2020-04-27 14:00:00,105.53,105.92,105.43,105.81,364662
2020-04-27 14:15:00,105.81,106.05,105.81,105.9901,376834
2020-04-27 14:30:00,105.9815,106.02,105.62,105.65,312534
2020-04-27 14:45:00,105.6641,106.01,105.57,105.92,320435
2020-04-27 15:00:00,105.91,106.15,105.8,105.8395,437263
2020-04-27 15:15:00,105.83,106.0563,105.8241,106.009,309534
2020-04-27 15:30:00,106.005,106.255,105.93,106.06,520088
2020-04-27 15:45:00,106.065,106.52,106.065,106.5,705299
2020-04-27 16:00:00,106.48,106.51,105.97,106.03,1173930
2020-04-27 16:15:00,105.72,106.47,105.72,106.28,215713
2020-04-27 16:30:00,105.94,106.25,105.94,106.25,69277
2020-04-27 16:45:00,106.25,106.25,106.06,106.06,10568
2020-04-27 17:00:00,106.29,106.29,106.29,106.29,109
2020-04-27 17:15:00,105.98,106.24,105.93,106.0,2623
2020-04-27 17:30:00,106.29,106.29,106.05,106.05,1881
2020-04-27 17:45:00,106.15,106.15,106.15,106.15,345
2020-04-27 18:00:00,106.1,106.1,106.01,106.01,1919
2020-04-27 18:15:00,106.05,106.05,106.0,106.0,1582
2020-04-27 18:30:00,106.0,106.05,106.0,106.05,925
2020-04-27 18:45:00,106.01,106.15,106.01,106.01,1200
2020-04-27 19:15:00,106.08,106.08,106.08,106.08,381
2020-04-27 19:45:00,106.29,106.29,106.29,106.29,520
2020-04-27 20:00:00,106.14,106.3,106.14,106.3,2167
2020-04-28 04:30:00,106.6,106.6,106.6,106.6,110
2020-04-28 04:45:00,106.7,106.7,106.7,106.7,100
2020-04-28 05:30:00,106.72,106.99,106.72,106.99,500
2020-04-28 06:00:00,107.0,107.33,106.94,107.04,3659
2020-04-28 06:30:00,107.38,107.38,107.38,107.38,100
2020-04-28 06:45:00,107.5,107.73,107.5,107.73,516
2020-04-28 07:00:00,107.93,107.93,107.75,107.78,4777
2020-04-28 07:15:00,107.75,107.75,107.5,107.75,8472
2020-04-28 07:30:00,107.8,108.0,107.75,107.9,7687
2020-04-28 07:45:00,107.89,107.9,107.61,107.9,2304
2020-04-28 08:00:00,107.89,108.25,107.77,108.25,10267
2020-04-28 08:15:00,107.6201,108.3198,107.52,108.0973,26802
2020-04-28 08:30:00,107.98,108.0,107.83,108.0,7430
2020-04-28 08:45:00,108.0,108.28,107.97,108.15,11643
2020-04-28 09:00:00,108.24,108.3425,108.05,108.3425,8840
2020-04-28 09:15:00,108.47,108.48,108.1,108.34,14833
2020-04-28 09:30:00,108.44,108.85,107.98,108.85,45999
2020-04-28 09:45:00,108.79,110.06,108.35,109.865,2817085
2020-04-28 10:00:00,109.87,109.96,107.35,107.35,1476091
2020-04-28 10:15:00,107.37,108.31,107.0,107.5963,1039598
2020-04-28 10:30:00,107.595,108.0658,107.51,108.06,812446
2020-04-28 10:45:00,108.08,108.48,107.3101,107.3436,757878
2020-04-28 11:00:00,107.335,107.6,106.21,106.28,726441
2020-04-28 11:15:00,106.27,107.23,106.14,107.1351,515358
2020-04-28 11:30:00,107.14,107.78,106.6701,107.44,499468
2020-04-28 11:45:00,107.43,108.15,107.43,107.914,491832
2020-04-28 12:00:00,107.93,107.98,107.3107,107.6879,406773
2020-04-28 12:15:00,107.695,107.915,107.31,107.625,323581
2020-04-28 12:30:00,107.62,107.625,107.01,107.1799,308981
2020-04-28 12:45:00,107.18,107.4819,106.98,107.155,333160
2020-04-28 13:00:00,107.1534,107.46,106.84,107.33,298751
2020-04-28 13:15:00,107.33,107.59,107.305,107.43,316323
2020-04-28 13:30:00,107.46,107.58,107.19,107.39,259719
